filename,filepath,ticker,company_name,exchange,announcement_type,order_type,contract_value_inr_cr,formatted_contract_value,currency,client,government_or_private,sector,project_duration,execution_timeline,revenue_impact,order_date,filing_date,gst_notice,gst_notice_amount_inr_cr,penalty,penalty_amount_inr_cr,tax_demand,tax_demand_amount_inr_cr,court_case,court_case_details,keywords,positive_signals,negative_signals,risk_factors,confidence_score,summary,impact_score,impact_rating,score_explanation,score_breakdown,rank
BHELCC_05062026113257_Info_to_SE_05_06_2026.pdf,C:\Users\KRUTARTH\OneDrive\Desktop\Corporate_Action_Impact\data\raw\BHELCC_05062026113257_Info_to_SE_05_06_2026.pdf,BHEL,Bharat Heavy Electricals Limited,BSE,Partnership,Government,21000.0,"₹21,000.00 Cr",INR,N/A,Government,Energy & Power,70 months,Execution within 70 months,Positive revenue contribution,04th Jun 2026,04th Jun 2026,True,21000.0,False,,False,,False,N/A,"['limited', 'mumbai', 'national', 'stock', 'exchange', 'india', 'subject', 'receipt', 'notification', 'award']",[],[],[],0.7,Bharat Heavy Electricals Limited disclosed a corporate regulatory filing regarding Partnership. Overall market impact is Medium.,60.9,Medium,"Assigned an explainable Impact Score of 60.9/100 (Medium Rating) for Bharat Heavy Electricals Limited (BHEL). Category 'Partnership' contributed 18.0 base points. Disclosed contract/event magnitude of ₹21,000.00 Cr contributed 30.0 magnitude points. Sector 'Energy & Power' applied a 1.15x sensitivity multiplier. Government client status added a +5.0 credibility bonus.","{'Category Base Weight': 18.0, 'Financial Magnitude': 30.0, 'Sector Multiplier': 1.15, 'Signals & Risk Adjustment': 0.0, 'Credibility Bonus': 5.0}",1
TCS_Dividend_Declaration.pdf,C:\Users\KRUTARTH\OneDrive\Desktop\Corporate_Action_Impact\data\raw\TCS_Dividend_Declaration.pdf,TCS,Tata Consultancy Services Limited (TCS),NSE/BSE,Dividend,Private,10200.0,"₹10,200.00 Cr",INR,N/A,Private,Information Technology,N/A,Standard execution schedule,Positive revenue contribution,N/A,N/A,False,,False,,False,,False,N/A,"['consultancy', 'services', 'limited', 'declaration', 'interim', 'dividend', 'board', 'directors', 'declared', 'equity']",['Strategic growth driver via Dividend'],[],[],0.8,"Tata Consultancy Services Limited (TCS) announced a corporate capital action (Dividend) valued at ₹10,200.00 Cr enhancing shareholder value. Overall market impact is Medium.",57.5,Medium,"Assigned an explainable Impact Score of 57.5/100 (Medium Rating) for Tata Consultancy Services Limited (TCS) (TCS). Category 'Dividend' contributed 15.0 base points. Disclosed contract/event magnitude of ₹10,200.00 Cr contributed 30.0 magnitude points. Sector 'Information Technology' applied a 1.15x sensitivity multiplier.","{'Category Base Weight': 15.0, 'Financial Magnitude': 30.0, 'Sector Multiplier': 1.15, 'Signals & Risk Adjustment': 5.0, 'Credibility Bonus': 0.0}",2
RELIANCE_Strategic_M&A.pdf,C:\Users\KRUTARTH\OneDrive\Desktop\Corporate_Action_Impact\data\raw\RELIANCE_Strategic_M&A.pdf,RELIANCE,Reliance Industries Limited (RELIANCE),NSE/BSE,Acquisition,Private,4500.0,"₹4,500.00 Cr",INR,N/A,Private,Energy & Power,N/A,Standard execution schedule,Positive revenue contribution,N/A,N/A,False,,False,,False,,False,N/A,"['reliance', 'industries', 'limited', 'strategic', 'green', 'hydrogen', 'acquisition', 'approved', 'equity', 'stake']",['Strategic growth driver via Acquisition'],[],[],0.7,"Reliance Industries Limited (RELIANCE) announced a strategic Acquisition valued at ₹4,500.00 Cr expanding market operations. Overall market impact is Medium.",51.7,Medium,"Assigned an explainable Impact Score of 51.7/100 (Medium Rating) for Reliance Industries Limited (RELIANCE) (RELIANCE). Category 'Acquisition' contributed 15.0 base points. Disclosed contract/event magnitude of ₹4,500.00 Cr contributed 25.0 magnitude points. Sector 'Energy & Power' applied a 1.15x sensitivity multiplier.","{'Category Base Weight': 15.0, 'Financial Magnitude': 25.0, 'Sector Multiplier': 1.15, 'Signals & Risk Adjustment': 5.0, 'Credibility Bonus': 0.0}",3
BHEL_Govt_Order_Win.pdf,C:\Users\KRUTARTH\OneDrive\Desktop\Corporate_Action_Impact\data\raw\BHEL_Govt_Order_Win.pdf,BHEL,Bharat Heavy Electricals Limited,NSE/BSE,Expansion,Government,620.0,₹620.00 Cr,INR,N/A,Government,Energy & Power,N/A,Standard execution schedule,Positive revenue contribution,N/A,N/A,False,,False,,False,,False,N/A,"['bharat', 'heavy', 'electricals', 'limited', 'award', 'major', 'government', 'contract', 'secured', 'prestigious']",[],[],[],0.7,Bharat Heavy Electricals Limited disclosed a corporate regulatory filing regarding Expansion. Overall market impact is Medium.,46.0,Medium,Assigned an explainable Impact Score of 46.0/100 (Medium Rating) for Bharat Heavy Electricals Limited (BHEL). Category 'Expansion' contributed 15.0 base points. Disclosed contract/event magnitude of ₹620.00 Cr contributed 20.0 magnitude points. Sector 'Energy & Power' applied a 1.15x sensitivity multiplier. Government client status added a +5.0 credibility bonus.,"{'Category Base Weight': 15.0, 'Financial Magnitude': 20.0, 'Sector Multiplier': 1.15, 'Signals & Risk Adjustment': 0.0, 'Credibility Bonus': 5.0}",4
BLUSPRING_05062026130923_Reg_30_-_SESI-BALCO.pdf,C:\Users\KRUTARTH\OneDrive\Desktop\Corporate_Action_Impact\data\raw\BLUSPRING_05062026130923_Reg_30_-_SESI-BALCO.pdf,BLUSPRING,Bluspring Enterprises Limited,NSE/BSE,Other,Private,2049.8,"₹2,049.80 Cr",INR,N/A,Private,Energy & Power,60 months,Execution within 60 months,Positive revenue contribution,"1st July 
2026",1st July 2026,False,,False,,False,,False,N/A,"['bluspring', 'enterprises', 'limited', 'office', 'bellandur', 'sarjapur', 'bengaluru', 'karnataka', 'floor', 'trading']",[],[],[],0.5,Bluspring Enterprises Limited disclosed a corporate regulatory filing regarding Other. Overall market impact is Medium.,46.0,Medium,"Assigned an explainable Impact Score of 46.0/100 (Medium Rating) for Bluspring Enterprises Limited (BLUSPRING). Category 'Other' contributed 15.0 base points. Disclosed contract/event magnitude of ₹2,049.80 Cr contributed 25.0 magnitude points. Sector 'Energy & Power' applied a 1.15x sensitivity multiplier.","{'Category Base Weight': 15.0, 'Financial Magnitude': 25.0, 'Sector Multiplier': 1.15, 'Signals & Risk Adjustment': 0.0, 'Credibility Bonus': 0.0}",5
SUZLON_Debt_Default.pdf,C:\Users\KRUTARTH\OneDrive\Desktop\Corporate_Action_Impact\data\raw\SUZLON_Debt_Default.pdf,SUZLON,Suzlon Energy Limited (SUZLON),NSE/BSE,Credit Rating,Private,145.5,₹145.50 Cr,INR,N/A,Private,Energy & Power,N/A,Standard execution schedule,Positive revenue contribution,N/A,N/A,False,,False,,False,,False,N/A,"['suzlon', 'energy', 'limited', 'disclosure', 'interest', 'default', 'company', 'defaulted', 'payment', 'crores']",[],[],[],0.7,Suzlon Energy Limited (SUZLON) disclosed a corporate regulatory filing regarding Credit Rating. Overall market impact is Low.,42.5,Low,Assigned an explainable Impact Score of 42.5/100 (Low Rating) for Suzlon Energy Limited (SUZLON) (SUZLON). Category 'Credit Rating' contributed 22.0 base points. Disclosed contract/event magnitude of ₹145.50 Cr contributed 15.0 magnitude points. Sector 'Energy & Power' applied a 1.15x sensitivity multiplier.,"{'Category Base Weight': 22.0, 'Financial Magnitude': 15.0, 'Sector Multiplier': 1.15, 'Signals & Risk Adjustment': 0.0, 'Credibility Bonus': 0.0}",6
ETHOS_05062026160606_Disclosure_GST_Order.pdf,C:\Users\KRUTARTH\OneDrive\Desktop\Corporate_Action_Impact\data\raw\ETHOS_05062026160606_Disclosure_GST_Order.pdf,ETHOSLTD,Ethos Limited,BSE,GST Notice,Private,,N/A,INR,N/A,Private,Information Technology,N/A,Standard execution schedule,Potential liquidity / cash outflow impact,N/A,N/A,True,,True,,False,,True,Legal proceedings or court dispute disclosed,"['ethos', 'secretarial', 'dated', 'corporate', 'service', 'department', 'limited', 'phiroze', 'jeejeebhoy', 'towers']",[],['Regulatory/Financial risk due to GST Notice'],['Potential cash outflow or rating downgrade'],0.7,"Ethos Limited received a regulatory GST Notice, signaling potential short-term tax/liquidity liability. Overall market impact is Low.",41.4,Low,Assigned an explainable Impact Score of 41.4/100 (Low Rating) for Ethos Limited (ETHOSLTD). Category 'GST Notice' contributed 35.0 base points. Sector 'Information Technology' applied a 1.15x sensitivity multiplier. Disclosed risk factors / negative concerns adjusted score by -14.0 points.,"{'Category Base Weight': 35.0, 'Financial Magnitude': 15.0, 'Sector Multiplier': 1.15, 'Signals & Risk Adjustment': -14.0, 'Credibility Bonus': 0.0}",7
EDUTECH_05062026174716_Disclosure_Reg_30_EDUTECH_05062026.pdf,C:\Users\KRUTARTH\OneDrive\Desktop\Corporate_Action_Impact\data\raw\EDUTECH_05062026174716_Disclosure_Reg_30_EDUTECH_05062026.pdf,CPEDU,CAREER POINT EDUTECH LIMITED,NSE/BSE,Partnership,Government,1.5,₹1.50 Cr,INR,N/A,Government,Information Technology,N/A,Standard execution schedule,Positive revenue contribution,N/A,N/A,False,,False,,False,,False,N/A,"['career', 'point', 'edutech', 'limited', 'registered', 'office', 'village', 'tangori', 'banur', 'mohali']",[],[],[],0.7,CAREER POINT EDUTECH LIMITED disclosed a corporate regulatory filing regarding Partnership. Overall market impact is Low.,37.9,Low,Assigned an explainable Impact Score of 37.9/100 (Low Rating) for CAREER POINT EDUTECH LIMITED (CPEDU). Category 'Partnership' contributed 18.0 base points. Disclosed contract/event magnitude of ₹1.50 Cr contributed 10.0 magnitude points. Sector 'Information Technology' applied a 1.15x sensitivity multiplier. Government client status added a +5.0 credibility bonus.,"{'Category Base Weight': 18.0, 'Financial Magnitude': 10.0, 'Sector Multiplier': 1.15, 'Signals & Risk Adjustment': 0.0, 'Credibility Bonus': 5.0}",8
INFY_GST_Demand_Notice.pdf,C:\Users\KRUTARTH\OneDrive\Desktop\Corporate_Action_Impact\data\raw\INFY_GST_Demand_Notice.pdf,INFY,Infosys Limited (INFY),NSE/BSE,GST Notice,Private,32.4,₹32.40 Cr,INR,N/A,Private,Information Technology,N/A,Standard execution schedule,Potential liquidity / cash outflow impact,N/A,N/A,True,32.4,True,32.4,False,,False,N/A,"['infosys', 'limited', 'receipt', 'demand', 'notice', 'under', 'section', 'received', 'cause', 'demanding']",[],['Regulatory/Financial risk due to GST Notice'],['Potential cash outflow or rating downgrade'],0.8,"Infosys Limited (INFY) received a regulatory GST Notice of ₹32.40 Cr, signaling potential short-term tax/liquidity liability. Overall market impact is Low.",35.6,Low,Assigned an explainable Impact Score of 35.6/100 (Low Rating) for Infosys Limited (INFY) (INFY). Category 'GST Notice' contributed 35.0 base points. Disclosed contract/event magnitude of ₹32.40 Cr contributed 10.0 magnitude points. Sector 'Information Technology' applied a 1.15x sensitivity multiplier. Disclosed risk factors / negative concerns adjusted score by -14.0 points.,"{'Category Base Weight': 35.0, 'Financial Magnitude': 10.0, 'Sector Multiplier': 1.15, 'Signals & Risk Adjustment': -14.0, 'Credibility Bonus': 0.0}",9
HDFCBANK_24072026190350_SE_Intimation_call_option.pdf,C:\Users\KRUTARTH\OneDrive\Desktop\Corporate_Action_Impact\data\raw\HDFCBANK_24072026190350_SE_Intimation_call_option.pdf,HDFCBANK,"Regd. Office: HDFC Bank Limited, HDFC Bank House, Senapati Bapat Marg, Lower Parel (West), Mumbai – 400 013",BSE,Partnership,Private,,N/A,INR,N/A,Private,Information Technology,N/A,Standard execution schedule,Operational update,N/A,N/A,False,,False,,False,,False,N/A,"['office', 'limited', 'house', 'senapati', 'bapat', 'lower', 'parel', 'mumbai', 'national', 'stock']",[],[],[],0.7,"Regd. Office: HDFC Bank Limited, HDFC Bank House, Senapati Bapat Marg, Lower Parel (West), Mumbai – 400 013 disclosed a corporate regulatory filing regarding Partnership. Overall market impact is Low.",29.9,Low,"Assigned an explainable Impact Score of 29.9/100 (Low Rating) for Regd. Office: HDFC Bank Limited, HDFC Bank House, Senapati Bapat Marg, Lower Parel (West), Mumbai – 400 013 (HDFCBANK). Category 'Partnership' contributed 18.0 base points. Sector 'Information Technology' applied a 1.15x sensitivity multiplier.","{'Category Base Weight': 18.0, 'Financial Magnitude': 8.0, 'Sector Multiplier': 1.15, 'Signals & Risk Adjustment': 0.0, 'Credibility Bonus': 0.0}",10
cc79e53e-be66-400d-82db-6e88c3a42188.pdf,C:\Users\KRUTARTH\OneDrive\Desktop\Corporate_Action_Impact\data\raw\cc79e53e-be66-400d-82db-6e88c3a42188.pdf,BSE_543410,DMR ENGINEERING LIMITED,BSE,Other,Private,,N/A,INR,N/A,Private,Information Technology,N/A,Standard execution schedule,Operational update,N/A,N/A,False,,False,,False,,False,N/A,"['engineering', 'limited', 'scrip', 'disclosure', 'under', 'regulation', 'regulations', 'regarding', 'corporate', 'update']",[],[],[],0.5,DMR ENGINEERING LIMITED disclosed a corporate regulatory filing regarding Other. Overall market impact is Low.,26.4,Low,Assigned an explainable Impact Score of 26.4/100 (Low Rating) for DMR ENGINEERING LIMITED (BSE_543410). Category 'Other' contributed 15.0 base points. Sector 'Information Technology' applied a 1.15x sensitivity multiplier.,"{'Category Base Weight': 15.0, 'Financial Magnitude': 8.0, 'Sector Multiplier': 1.15, 'Signals & Risk Adjustment': 0.0, 'Credibility Bonus': 0.0}",11
